Title,Intervention,Health condition
An adult formulation of a five-component acellular pertussis vaccine combined withdiptheria and tetanus toxoids is safe and immunogenic in adolescents and adults,Vaccination,Diptheria
Adult formulation of a five component acellular pertussis vaccine combined withdiptheria and tetanus toxoids and inactivated poliovirus vaccine is safe and immunogenic in adolescents and adults,Vaccination,Diptheria
Safety and immunogenicity of an acellular pertussisdiptheria tetanus vaccine given as a single injection with Haemophilus influenzae b conjugate vaccine,Vaccination,Diptheria
Safety and immunogenicity of two inactivated poliovirus vaccines in combination with an acellular pertussis vaccine anddiptheria and tetanus toxoids in seventeen- to nineteen-month-old infants. [see comments.],Vaccination,Diptheria
Adverse reactions and antibody response to four doses of acellular or whole cell pertussis vaccine combined withdiptheria and tetanus toxoids in the first 19 months of life,Vaccination,Diptheria
Effect of inactivated poliovirus vaccine on the antibody response to Bordetella pertussis antigens when combined withdiptheria-pertussis-tetanus vaccine,Vaccination,Diptheria
Safety and immunogenicity of two formulations of a hexavalentdiptheria-tetanus-acellular pertussis-inactivated poliovirus-Haemophilus influenzae conjugate-hepatitis B vaccine in 15 to 18-month-old children,Vaccination,Diptheria
"A multicenter, prospective, open-label, non-comparative study to evaluate the immunogenicity and tolerance of a new, fully liquid pentavalent vaccine (DTwP-HepB-Hib vaccine)",Vaccination,Diptheria
"Safety and immunogenicity of a hexavalentdiptheria-tetanus-acellular pertussis-inactivated poliovirus-Haemophilus influenzae b conjugate-hepatitis B vaccine at 2, 3, 4, and 12-14 months of age",Vaccination,Diptheria
Clinical signs associated with Triple Antigen (DTP) vaccination in infants,Vaccination,Diptheria
Comparative study of Lederle/Takeda acellular and Lederle whole-cell pertussis-componentdiptheria-tetanus-pertussis vaccines in infants in Germany,Vaccination,Diptheria
Reactogenicity and immunogenicity profiles of a novel pentavalentdiptheria-tetanus-whole cell pertussis-hepatitis B and Haemophilus influenzae type B vaccine: a randomized dose-ranging trial of the Hib tetanus-conjugate content,Vaccination,Diptheria
"Priming effect, immunogenicity and safety of an Haemophilus influenzae type b-tetanus toxoid conjugate (PRP-T) anddiptheria-tetanus-acellular pertussis (DTaP) combination vaccine administered to infants in Belgium and Turkey",Vaccination,Diptheria
Safety and immunogenicity of an Haemophilus influenzae type b-tetanus toxoid conjugate (PRP-T) anddiptheria-tetanus-pertussis (DTP) combination vaccine administered in a dual-chamber syringe to infants in Belgium and Chile,Vaccination,Diptheria
The effect of reconstitution of an Haemophilus influenzae type b- tetanus toxoid conjugate (PRP-T)vaccine on the immune responses to adiptheria-tetanus-whole cell pertussis (DTwP) vaccine: A five-year follow- up,Vaccination,Diptheria
A randomized controlled trial of two acellular pertussis-Diptheria-tetanus vaccines in primary immunization in Ghana: antibody responses and adverse reactions,Vaccination,Diptheria
"Immunogenicity and safety of Haemophilus influenzae type b conjugate vaccine (HibTITER) and a combination vaccine ofdiptheria, tetanus, pertussis and HibTITER (TETRAMUNE) in two-month-old infants",Vaccination,Diptheria
Acetaminophen prophylaxis of adverse reactions following vaccination of infants withdiptheria-pertussis-tetanus toxoids-polio vaccine,Vaccination,Diptheria
Order of vaccine injection and infant pain response,Vaccination,Diptheria
Immunogenicity and safety of a liquid combination of DT-PRP-T vs lyophilized PRP-T reconstituted with DTP,Vaccination,Diptheria
Safety and immunogenicity of a combined DTPa-IPV vaccine administered as a booster from 4 years of age: a review,Vaccination,Diptheria
Haemophilus influenzaediptheria protein conjugate immunization after therapy in splenectomized patients with Hodgkin disease,Vaccination,Diptheria
Differences in reactogenicity and antigenicity of acellular and standard pertussis vaccines combined withdiptheria and tetanus in infants,Vaccination,Diptheria
"Randomised controlled trial of combineddiptheria, tetanus, whole-cell pertussis vaccine administered in the same syringe and separately with Haemophilus influenzae type b vaccine at two, three and four months of age",Vaccination,Diptheria
"Acellular pertussisdiptheria-tetanus-pertussis vaccine containing separately purified pertussis toxoid, filamentous haemagglutinin and 69 kDa outer membrane protein as a booster in children",Vaccination,Diptheria
Sabin vaccine and combineddiptheria-tetanus-pertussis immunisation [letter],Vaccination,Diptheria
The immunological response of Thai infants to haemophilus influenzae type B polysaccharide-tetanus conjugate vaccine co-administered in the same syringe with locally produceddiptheria-tetanus-pertussis vaccine,Vaccination,Diptheria
Primary vaccination with a new heptavalent DTPw-HBV/Hib-Neisseria meningitidis serogroups A and C combined vaccine is well tolerated,Vaccination,Diptheria
"Safety, immunogenicity, and immune memory of a novel meningococcal (groups A, C, Y, and W-135) polysaccharidediptheria toxoid conjugate vaccine (MCV-4) in healthy adolescents",Vaccination,Diptheria
"Immunogenicity and reactogenicity of twodiptheria-tetanus-acellular pertussis-hepatitis B-inactivated polio virus-Haemophilus influenzae type b vaccines administered at 3, 5 and 11-12 months of age",Vaccination,Diptheria
"Evaluation of adiptheria-tetanus-acellular pertussis-inactivated poliovirus-Haemophilus influenzae type b vaccine given concurrently with meningococcal group C conjugate vaccine at 2, 3 and 4 months of age.[see comment]",Vaccination,Diptheria
Reactogenicity and immunogenicity of reduced antigen contentdiptheria-tetanus-acellular pertussis vaccine (dTpa) administered as a booster to 4-6 year-old children primed with four doses of whole-cell pertussis vaccine,Vaccination,Diptheria
Safety and immunogenicity of acellulardiptheria-tetanus-pertussis and Haemophilus conjugate vaccines given in combination or at separate injection sites,Vaccination,Diptheria
"Clinical acceptability and immunogenicity of a pentavalent parenteral combination vaccine containingdiptheria, tetanus, acellular pertussis, inactivated poliomyelitis and Haemophilus influenzae type b conjugate antigens in two-, four- and six-month-old Chilean infants",Vaccination,Diptheria
"Safety and immunogenicity of a meningococcal (Groups A, C, Y, W-135) polysaccharidediptheria toxoid conjugate vaccine in healthy children aged 2 to 10 years in Chile",Vaccination,Diptheria
Randomised feasibility trial of pre-exposure rabies vaccination with DTP-IPV in infants,Vaccination,Diptheria
An adolescent-adult formulation tetanus anddiptheria toxoids adsorbed combined with acellular pertussis vaccine has comparable immunogenicity but less reactogenicity in children 4-6 years of age than a pediatric formulation acellular pertussis vaccine anddiptheria and tetanus toxoids adsorbed combined with inactivated poliomyelitis vaccine,Vaccination,Diptheria
"The immunogenicity and safety of a new combineddiptheria, tetanus and poliomyelitis booster vaccine (Td-eIPV)",Vaccination,Diptheria
"An evaluation of the safety and immunogenicity of a five-component acellular pertussis,diptheria, and tetanus toxoid vaccine (DTaP) when combined with a Haemophilus influenzae type b-tetanus toxoid conjugate vaccine (PRP-T) in Taiwanese infants",Vaccination,Diptheria
Safety and immunogenicity of two Haemophilus influenzae type b polysaccharide-tetanus toxoid conjugate vaccines (PRP-T) given withdiptheria-tetanus-pertussis vaccine to young Papua New Guinean children,Vaccination,Diptheria
Safety and immunogenicity of Haemophilus influenzae type b polysaccharide-Diptheria toxoid conjugate vaccine (PRP-D) in infants,Vaccination,Diptheria
Safety and immunogenicity of Haemophilus influenzae type b-polysaccharidediptheria toxoid conjugate vaccine in infants 9 to 15 months of age,Vaccination,Diptheria
Randomised controlled trial of sucrose by mouth for the relief of infant crying after immunisation. [see comments.],Vaccination,Diptheria
The effect of prophylactic acetaminophen administration on reactions to DTP vaccination,Vaccination,Diptheria
Effect of neonatal immunization withdiptheria and tetanus toxoids on antibody responses to Haemophilus influenzae type b conjugate vaccines,Vaccination,Diptheria
"Safety and immunogenicity of adiptheria, tetanus, and acellular pertussis-inactivated poliovirus vaccine/Haemophilus influenzae type b combination vaccine administered to Taiwanese infants at 2, 4, and 6 months of age",Vaccination,Diptheria
A fully liquiddiptheria-tetanus-five component acellular pertussis-inactivated poliomyelitis--Haemophilus influenzae type b conjugate vaccine: immunogenicity and safety of primary vaccination in Taiwanese infants,Vaccination,Diptheria
Longitudinal study of adverse reactions followingdiptheria-tetanus-pertussis vaccine in infancy,Vaccination,Diptheria
"Similar antibody concentrations in Filipino infants at age 9 months, after 1 or 3 doses of an adjuvanted, 11-valent pneumococcaldiptheria/tetanus-conjugated vaccine: a randomized controlled trial",Vaccination,Diptheria
"Associated or combined vaccination of Brazilian infants with a conjugate Haemophilus influenzae type b (Hib) vaccine, adiptheria-tetanus-whole-cell pertussis vaccine and IPV or OPV elicits protective levels of antibodies against Hib",Vaccination,Diptheria
Comparison of the morbidity of tetanus toxoid boosters with tetanus-Diptheria toxoid boosters,Vaccination,Diptheria
Effect of warming adultdiptheria-tetanus vaccine on discomfort after injection: a randomised controlled trial,Vaccination,Diptheria
"Antibody persistence againstdiptheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b (Hib) in 5-6-year-old children after primary vaccination and first booster with a pentavalent combined acellular pertussis vaccine: immunogenicity and tolerance of a tetravalent combined acellular pertussis vaccine given as a second booster",Vaccination,Diptheria
"Comparison of the reactogenicity and immunogenicity of a combineddiptheria, tetanus, acellular pertussis, hepatitis B, inactivated polio (DTPa-HBV-IPV) vaccine, mixed with the Haemophilus influenzae type b (Hib)",Vaccination,Diptheria
"Assessment of the immunogenicity and reactogenicity of a quadrivalentdiptheria, tetanus, acellular pertussis and hepatitis B (DTPa-HBV) vaccine administered in a single injection with Haemophilus influenzae type b conjugate vaccine, to infants at 2, 4 and 6 months of age",Vaccination,Diptheria
Subcutaneous versus intramuscular injection for booster DT vaccination of adolescents,Vaccination,Diptheria
The role of aluminium for adverse reactions and immunogenicity ofdiptheria-tetanus booster vaccine,Vaccination,Diptheria
Trivalent oral poliomyelitis vaccine and combineddiptheria-tetanus-pertussis immunisation [letter],Vaccination,Diptheria
Ultrasound examination of extensive limb swelling reactions afterdiptheria-tetanus-acellular pertussis or reduced-antigen contentdiptheria-tetanus-acellular pertussis immunization in preschool-aged children,Vaccination,Diptheria
"Immunogenicity, reactogenicity and consistency of production of a Brazilian combined vaccine againstdiptheria, tetanus, pertussis and Haemophilus influenzae type b",Vaccination,Diptheria
"Booster vaccination of adults with reduced-antigen-contentdiptheria, Tetanus and pertussis vaccine: immunogenicity 5 years post-vaccination",Vaccination,Diptheria
Intranasal immunization with genetically detoxifieddiptheria toxin induces T cell responses in humans: enhancement of Th2 responses and toxin-neutralizing antibodies by formulation with chitosan,Vaccination,Diptheria
"Safety and immunogenicity of a primary course and booster dose of a combineddiptheria, tetanus, acellular pertussis, hepatitis B and inactivated poliovirus vaccine",Vaccination,Diptheria
Safety and immunogenicity of PRP-T combined with DTP: excretion of capsular polysaccharide and antibody response in the immediate post-vaccination period,Vaccination,Diptheria
"Safety and immunogenicity of a combined five-component pertussis-Diptheria-tetanus-inactivated poliomyelitis-Haemophilus B conjugate vaccine administered to infants at two, four and six months of age",Vaccination,Diptheria
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Diptheria
The use of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine mixed withdiptheria-tetanus-pertussis vaccine in Gambian infants,Vaccination,Diptheria
Persistent itching nodules after the fourth dose ofdiptheria-tetanus toxoid vaccines without evidence of delayed hypersensitivity to aluminium,Vaccination,Diptheria
Diptheria booster vaccination: one or two injections?,Vaccination,Diptheria
"Antibody persistence, PRP-specific immune memory, and booster responses in infants immunised with a combination DTPa-HBV-IPV/Hib vaccine",Vaccination,Diptheria
Primary course immunogenicity and reactogenicity of a newdiptheria-tetanus-whole cell pertussis vaccine (DTPw),Vaccination,Diptheria
Booster vaccination of toddlers with reduced antigen contentdiptheria -- tetanus -- acellular pertussis vaccine,Vaccination,Diptheria
"Safety and immunogenicity of a nonavalent pneumococcal vaccine conjugated to CRM197 administered simultaneously but in a separate syringe withdiptheria, tetanus and pertussis vaccines in Gambian infants",Vaccination,Diptheria
"Safety and immunogenicity of pneumococcal conjugate vaccine in combination withdiptheria, tetanus toxoid, pertussis and Haemophilus influenzae type b conjugate vaccine",Vaccination,Diptheria
Response and persistence of antibodies to PRP-T and DTwP vaccines with concomitant administration of conjugate vaccines,Vaccination,Diptheria
The immunogenicity and reactogenicity of DTPw-HBV/Hib 2.5 combination vaccine: results from four phase III multicenter trials across three continents,Vaccination,Diptheria
Elevated levels of maternal anti-tetanus toxin antibodies do not suppress the immune response to a Haemophilus influenzae type b polyribosylphosphate-tetanus toxoid conjugate vaccine,Vaccination,Diptheria
"Haemophilus influenzae type b polysaccharide-tetanus protein conjugate vaccine does not depress serologic responses todiptheria, tetanus or pertussis antigens when coadministered in the same syringe withdiptheria-tetanus-pertussis vaccine at two, four and six months of age",Vaccination,Diptheria
"Safety and immunogenicity of a combineddiptheria, tetanus, pertussis and Haemophilus influenzae type b vaccine in young infants",Vaccination,Diptheria
"Safety of a combinationdiptheria, tetanus toxoid, acellular pertussis, hepatitis B, and inactivated polio vaccine coadministered with a 7-valent pneumococcal conjugate vaccine and a Haemophilus influenzae type b conjugate vaccine",Vaccination,Diptheria
"Fifth vaccination withdiptheria, tetanus and acellular pertussis is beneficial in four- to six-year-olds",Vaccination,Diptheria
Impact of a birth dose of hepatitis B vaccine on the reactogenicity and immunogenicity ofdiptheria-tetanus-acellular pertussis-hepatitis B-inactivated poliovirus-Haemophilus influenzae type b combination vaccination,Vaccination,Diptheria
"Comparative trial of the safety and immunogenicity of quadrivalent (A, C, Y, W-135) meningococcal polysaccharide-Diptheria conjugate vaccine versus quadrivalent polysaccharide vaccine in two- to ten-year-old children",Vaccination,Diptheria
Comparison of adiptheria and tetanus toxoids and bicomponent acellular pertussis vaccine withdiptheria and tetanus toxoids and whole-cell pertussis vaccine in infants,Vaccination,Diptheria
"Vaccine antigen interactions after a combinationdiptheria-tetanus toxoid-acellular pertussis/purified capsular polysaccharide of Haemophilus influenzae type b-tetanus toxoid vaccine in two-, four- and six-month-old infants",Vaccination,Diptheria
"Administration of combineddiptheria and tetanus toxoids and pertussis vaccine, hepatitis B vaccine, and Haemophilus influenzae type b (Hib) vaccine to infants and response to a booster dose of Hib conjugate vaccine",Vaccination,Diptheria
Avidity maturation of antibody to Haemophilus influenzae type b (Hib) after immunization withdiptheria-tetanus-acellular pertussis-hib-hepatitis B combined vaccine in infants (should the disease be Haemophilus Type B infection),Vaccination,Diptheria
"Immunogenicity and safety of a combinationdiptheria, tetanus toxoid, acellular pertussis, hepatitis B, and inactivated poliovirus vaccine coadministered with a 7-valent pneumococcal conjugate vaccine and a Haemophilus influenzae type b conjugate vaccine",Vaccination,Diptheria
"Safety and immunogenicity of a DTaP-IPV(Vero) (serum-free) combination vaccine in comparison to DTaP-IPV(Mkc) when administered simultaneously with Haemophilus influenzae type B conjugate vaccine (PRP-T) in children at 2, 3.5, 5 and 16 months of age",Vaccination,Diptheria
A phase-I clinical trial of a new antitetanus/antiDiptheria vaccine for adults. [Italian],Vaccination,Diptheria
"Safety of the 11-valent pneumococcal vaccine conjugated to non-typeable Haemophilus influenzae-derived protein D in the first 2 years of life and immunogenicity of the co-administered hexavalentdiptheria, tetanus, acellular pertussis, hepatitis B, inactivated polio virus, Haemophilus influenzae type b and control hepatitis A vaccines",Vaccination,Diptheria
The immunogenicity and reactogenicity of a new DTPw-HBV vaccine as a primary and booster vaccination course in healthy infants,Vaccination,Diptheria
Comparison of immunogenicity of combined DPT--inactivated injectable polio vaccine (DPT - IPV) and association of DPT and attenuated oral polio vaccine (DPT + OPV) in Pakistani children,Vaccination,Diptheria
Symptoms after accelerated immunisation. [see comments.],Vaccination,Diptheria
"[The safety and immunogenicity of an heptavalent pneumococcal polysaccharide conjugate vaccine (Prevenar) administered in association with a whole-cell pertussis-based pediatric combination vaccine (DTP-IPV/PRP-T) to French infants with a two-, three-, and four-month schedule]",Vaccination,Diptheria
Safety and immunogenicity of heptavalent pneumococcal vaccine conjugated to CRM197 in United States infants,Vaccination,Diptheria
Decreased Anti-PRP Response Occurs when PRP-T Reconstituted with DTaP is Given Concurrently with IPV (abstract),Vaccination,Diptheria
Diminution of the anti-polyribosylribitol phosphate response to a combineddiptheria-tetanus-acellular pertussis/Haemophilus influenzae type b vaccine by concurrent inactivated poliovirus vaccination,Vaccination,Diptheria
Safety and immunogenicity of combineddiptheria-tetanus-pertussis (whole cell and acellular)-Haemophilus influenzae-b conjugate vaccines administered to Indonesian children,Vaccination,Diptheria
"Immunogenicity and reactogenicity of combined versus separately administered DTPw-HBV and Hib vaccines given to healthy infants at 2, 4 and 6 months of age, with a booster at 18 months",Vaccination,Diptheria
Malaria chemoprophylaxis and the serologic response to measles anddiptheria-tetanus-whole-cell pertussis vaccines,Vaccination,Diptheria
Immunogenicity of Haemophilus influenzae-Diptheria CRM197 protein conjugate vaccine (HbOC) in Libyan infants,Vaccination,Diptheria
Simultaneous administration of adiptheria and tetanus toxoids and acellular pertussis vaccine with measles-mumps-rubella and oral poliovirus vaccines,Vaccination,Diptheria
Safety and immunogenicity of PRP-D and DTP administered concurrently at separate sites compared to PRP-D/DTP administered as a single injection,Vaccination,Diptheria
"Comparison ofdiptheria-tetanus-two component acellular pertussis vaccines in United States and Japanese infants at 2, 4, and 6 months of age",Vaccination,Diptheria
"[Combined vaccine against tetanus,diptheria and polio. A randomized controlled study of immunogenicity and tolerance]. [German]",Vaccination,Diptheria
Immunologic response to early and routine DTP immunization in infants,Vaccination,Diptheria
Booster vaccination and 1-year follow-up of 4-8-year-old children with a reduced-antigen-content dTpa-IPV vaccine,Vaccination,Diptheria
"Comparison of the immunogenicity ofdiptheria-tetanus-acellular pertussis -IPV-HBV/HIB compared todiptheria-tetanus-acellular pertussis-HBV-IPV-HIB given as a primary vaccination course at 2, 4 and 6 months of age",Vaccination,Diptheria
Can Haemophilus influenzae type b-tetanus toxoid conjugate vaccine be combined withdiptheria toxoid-pertussis vaccine-tetanus toxoid?,Vaccination,Diptheria
"Controlled trial of Haemophilus influenzae type Bdiptheria toxoid conjugate combined withdiptheria, tetanus and pertussis vaccines, in 18-month-old children, including comparison of arm versus thigh injection",Vaccination,Diptheria
Role of whole-cell pertussis vaccine in severe local reactions to the preschool (fifth) dose ofdiptheria-pertussis-tetanus vaccine,Vaccination,Diptheria
Comparative safety of tetanus-Diptheria toxoids booster immunization in students in Grades 6 and 9,Vaccination,Diptheria
"A comparative study of PENTA vaccine booster doses given at 12, 15, or 18 months of age",Vaccination,Diptheria
Adverse reactions to the preschool (fifth) dose of adsorbeddiptheria-pertussis-tetanus vaccine in Canadian children,Vaccination,Diptheria
"Safety and immunogenicity of a pentavalent combination vaccine (Diptheria, tetanus, acellular pertussis, polio, and haemophilus influenzae type B conjugate) when administered as a fourth dose at 15 to 18 months of age",Vaccination,Diptheria
"Assessment of the compatibility of co-administered 7-valent pneumococcal conjugate, DTaP.IPV/PRP-T Hib and hepatitis B vaccines in infants 2-7 months of age",Vaccination,Diptheria
Primary vaccination of infants withdiptheria-tetanus-acellular pertussis-hepatitis B virus- inactivated polio virus and Haemophilus influenzae type b vaccines given as either separate or mixed injections. [see comments.],Vaccination,Diptheria
"Clinical experience of a tricomponent acellular pertussis vaccine combined withdiptheria and tetanus toxoids for primary vaccination in 22,505 infants",Vaccination,Diptheria
Immunogenicity and reactogenicity of a Haemophilus influenzae type b tetanus conjugate vaccine when administered separately or mixed with concomitantdiptheria-tetanus-toxoid and acellular pertussis vaccine for primary and for booster immunizations,Vaccination,Diptheria
"The safety, reactogenicity and immunogenicity of a 7-valent pneumococcal conjugate vaccine (7VPnC) concurrently administered with a combination DTaP-IPV-Hib vaccine",Vaccination,Diptheria
DTP reactions and serologic response with a reduced dose schedule,Vaccination,Diptheria
Primary immunization withdiptheria-tetanus toxoids vaccine anddiptheria-tetanus toxoids-pertussis vaccine adsorbed: comparison of schedules,Vaccination,Diptheria
Diptheria revaccination of adults,Vaccination,Diptheria
Diptheria immunisation in young babies: a study of some factors involved,Vaccination,Diptheria
Immune response to octavalentdiptheria- and tetanus-conjugated pneumococcal vaccines is serotype- and carrier-specific: The choice for a mixed carrier vaccine,Vaccination,Diptheria
Randomised study of the possible adjuvant effect of BCG vaccine on the immunogenicity ofdiptheria-tetanus-acellular pertussis vaccine in Senegalese infants,Vaccination,Diptheria
Comparative safety and immunogenicity of an acellular versus whole-cell pertussis component ofdiptheria-tetanus-pertussis vaccines in Senegalese infants,Vaccination,Diptheria
Revaccination of adults againstdiptheria. II: Combineddiptheria and tetanus revaccination with different doses ofdiptheria toxoid 20 years after primary vaccination,Vaccination,Diptheria
"Multiple antigen immunization of infants against poliomyelitis,diptheria, pertussis, and tetanus",Vaccination,Diptheria
Immunogenicity and reactogenicity of combined acellular pertussis/tetanus/low dosediptheria vaccines given as a booster to UK teenagers,Vaccination,Diptheria
"A comparative efficacy trial in Germany in which infants received either the Lederle/Takeda acellular pertussis component DTP (DTaP) vaccine, the Lederle whole-cell component DTP (DTP) vaccine or DT vaccine",Vaccination,Diptheria
"A comparative efficacy trial in Germany in infants who received either the Lederle/Takeda acellular pertussis component DTP (DTaP) vaccine, the Lederle whole-cell component DTP vaccine, or DT vaccine",Vaccination,Diptheria
"Immunogenicity and safety of a trivalent tetanus, low dosediptheria, inactivated poliomyelitis booster compared with a standard tetanus, low dosediptheria booster at six to nine years of age. Munich Vaccine Study Group",Vaccination,Diptheria
"Immunogenicity and reactogenicity of primary immunization with a novel combined Haemophilus influenzae Type b and Neisseria meningitidis Serogroup C-tetanus toxoid conjugate vaccine coadministered with adiptheria-tetanus-acellular Pertussis-hepatitis B-inactivated poliovirus vaccine at 2, 4 and 6 months",Vaccination,Diptheria
Immunogenicity and reactogenicity of a three-dose primary vaccination course with a combineddiptheria-tetanus-acellular pertussis-hepatitis B-inactivated polio-haemophilus influenzae type b vaccine coadministered with a meningococcal C conjugate vaccine,Vaccination,Diptheria
Primary vaccination of adults with reduced antigen-contentdiptheria-tetanus-acellular pertussis or dTpa-inactivated poliovirus vaccines compared todiptheria-tetanus-toxoid vaccines,Vaccination,Diptheria
Immunogenicity and reactogenicity of four doses ofdiptheria-tetanus-three-component acellular pertussis-hepatitis B-inactivated polio virus-Haemophilus influenzae type b vaccine coadministered with 7-valent pneumococcal conjugate Vaccine,Vaccination,Diptheria
"Diptheria antitoxin response to DTP vaccines used in Swedish pertussis vaccine trials, persistence and projection for timing of booster",Vaccination,Diptheria
Predictors of adverse events after the administration of acellular and whole-celldiptheria-tetanus-pertussis vaccines,Vaccination,Diptheria
Antibody responses and symptoms after DTP and either tetanus ordiptheria Haemophilus influenzae type B conjugate vaccines given for primary immunisation by separate or mixed injection,Vaccination,Diptheria
Reduced immunogenicity ofdiptheria and tetanus toxoids when combined with pertussis toxoid,Vaccination,Diptheria
A randomized trial of two acellular pertussis vaccines (dTpa and pa) and a licenseddiptheria-tetanus vaccine (Td) in adults,Vaccination,Diptheria
"Immunogenicity and reactogenicity of a booster dose ofdiptheria, tetanus, acellular pertussis and inactivated poliomyelitis vaccines given concurrently with Haemophilus type b conjugate vaccine or as pentavalent vaccine",Vaccination,Diptheria
Comparative reactogenicity and immunogenicity of booster doses ofdiptheria-tetanus-acellular pertussis-inactivated poliovirus vaccine anddiptheria-tetanus-inactivated poliovirus vaccine in preadolescents,Vaccination,Diptheria
Reactogenicity and tolerability of a non-adjuvanted 11-valentdiptheria-tetanus toxoid pneumococcal conjugate vaccine in Filipino children,Vaccination,Diptheria
Immunogenicity and reactogenicity of a combined DTPw-hepatitis B vaccine in Lithuanian infants,Vaccination,Diptheria
Adiptheria-tetanus-acellular pertussis (dTpa) vaccine for adults (abstract),Vaccination,Diptheria
A randomised controlled trial with adiptheria-tetanus-acellular pertussis (dTpa) vaccine in adults,Vaccination,Diptheria
Adverse effects and sero-responses to an acellular pertussis/Diptheria/tetanus vaccine when combined with Haemophilus influenzae type b vaccine in an accelerated schedule,Vaccination,Diptheria
"Effect of combination with an acellular pertussis,diptheria, tetanus vaccine on antibody response to Hib vaccine (PRP-T)",Vaccination,Diptheria
Reduced-antigen-content-Diptheria-tetanus-acellular-pertussis and inactivated polio vaccine as a booster for adolescents 10 to 14 years of age,Vaccination,Diptheria
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,Diptheria
"Safety and immunogenicity of acellular pertussis vaccine, combined withdiptheria and tetanus as the Japanese commercial Takeda vaccine, compared with the Takeda acellular pertussis component combined with Lederle'sdiptheria and tetanus toxoids in two-, four- and six-month-old infants",Vaccination,Diptheria
[Immunogenity and side effects of a combineddiptheria-pertussis-tetanus adsorbate and haemophilus influenzae conjugate vaccine (HibDPT-Vaccine)],Vaccination,Diptheria
"Antibody responses of healthy infants to concurrent administration of a bivalent Haemophilus influenzae type b-hepatitis B vaccine withdiptheria-tetanus-pertussis, polio and measles-mumps-rubella vaccines",Vaccination,Diptheria
Reactogenicity and immunogenicity of a three-component acellular pertussis DTPa vaccine compared to the conventional whole-cell DTPg vaccine,Vaccination,Diptheria
Syringe preparation technique and minor adverse reactions todiptheria-tetanus-pertussis immunization,Vaccination,Diptheria
Comparison of separate and mixed administration of DTPw-HBV and Hib vaccines: Immunogenicity and reactogenicity profiles,Vaccination,Diptheria
[The immunologic impact and adverse effects of simultaneous inoculation with DPT and BCG vaccines]. [Chinese],Vaccination,Diptheria
Immunogenicity and safety of a tetravalent measles-mumps-rubella-varicella vaccine co-administered with a booster dose of a combineddiptheria-tetanus-acellular pertussis-hepatitis B-inactivated poliovirus-Haemophilus influenzae type b conjugate vaccine in healthy children aged 12-23 months,Vaccination,Diptheria
Immunogenicity of reduced antigen content tetanus-Diptheria-acellular pertussis vaccine in adolescents as a sixth consecutive dose of acellular pertussis-containing vaccine,Vaccination,Diptheria
Safety of reduced-antigen-content tetanus-Diptheria-acellular pertussis vaccine in adolescents as a sixth consecutive dose of acellular pertussis-containing vaccine.[see comment],Vaccination,Diptheria
"Safety, reactogenicity and immunogenicity of a combined hexavalent tetanus,diptheria, acellular pertussis, hepatitis B, inactivated poliovirus vaccine and Haemophilus influenzae type b conjugate vaccine, for primary immunization of infants",Vaccination,Diptheria
Evidence for induction of polysaccharide specific B-cell-memory in the 1st year of life: plain Haemophilus influenzae type b-PRP (Hib) boosters children primed with a tetanus-conjugate Hib-DTPa-HBV combined vaccine,Vaccination,Diptheria
"Safety and immunogenicity of one dose of MenACWY-CRM, an investigational quadrivalent meningococcal glycoconjugate vaccine, when administered to adolescents concomitantly or sequentially with Tdap and HPV vaccines",Vaccination,Diptheria
The immunogenicity and safety of a reduced PRP-content DTPw-HBV/Hib vaccine when administered according to the accelerated EPI schedule,Vaccination,Diptheria
Primary and booster vaccination in Latin American children with a DTPw-HBV/Hib combination: a randomized controlled trial,Vaccination,Diptheria
"Safety and immunogenicity of a tetanus toxoid, reduceddiptheria toxoid, and acellular pertussis vaccine when co-administered with influenza vaccine in adults",Vaccination,Diptheria
Immunogenicity and safety of a DTaP-IPV//PRP approximately T combination vaccine given with hepatitis B vaccine: a randomized open-label trial,Vaccination,Diptheria
The development of a new heptavalentdiptheria-tetanus-whole cell pertussis-hepatitis B-Haemophilus influenzae type b-Neisseria meningitidis serogroups A and C vaccine: a randomized dose-ranging trial of the conjugate vaccine components,Vaccination,Diptheria
Safety and immunogenicity of Haemophilus influenzae type b polysaccharide and polysaccharidediptheria toxoid conjugate vaccines in children 15 to 24 months of age,Vaccination,Diptheria
Diptheria-tetanus-pertussis vaccine administered simultaneously with measles vaccine is associated with increased morbidity and poor growth in girls. A randomised trial from Guinea-Bissau,Vaccination,Diptheria
"Safety and immunogenicity of three different formulations of a liquid hexavalentdiptheria-tetanus-acellular pertussis-inactivated poliovirus-Haemophilus influenzae b conjugate-hepatitis B vaccine at 2, 4, 6 and 12-14 months of age",Vaccination,Diptheria
"Immunogenicity and safety of a combineddiptheria, tetanus, acellular pertussis, and inactivated poliovirus vaccine (DTaP-IPV) compared to separate administration of standalone DTaP and IPV vaccines: a randomized, controlled study in infants in the Republic of Korea",Vaccination,Diptheria
