Title,Intervention,Health condition,,,,,,,,,,
Short course therapy with cefuroxime axetil for group A streptococcal tonsillopharyngitis in children,Antibiotics,Pharyngitis,,,,,,,,,,
A therapeutic study of an adamantane spiro compound in experimental influenza A infection in man,Antivirals,influenza,,,,,,,,,,
Comparative study of amoxycillin and amoxycillin/clavulanic acid in lower respiratory infections,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
"A comparative study between teicoplanin alone and flucloxacillin, plus or minus fusidic acid, in the treatment of serious infections caused by methicillin-susceptible gram-positive bacteria",Antibiotic vs antibiotic,staph epiderdimis,,further investigation was required,,,,,,,,
"A comparative study between teicoplanin alone and flucloxacillin, plus or minus fusidic acid, in the treatment of serious infections caused by methicillin-susceptible gram-positive bacteria",Antibiotic vs antibiotic,staph aureus,,further investigation was required,,,,,,,,
Controlled trial to evaluate protection of high-risk infants against respiratory syncytial virus disease by using standard intravenous immune globulin,immunoglobulin,RSV,,,,,,,,,,
Safety and pharmacokinetics of an intramuscular monoclonal antibody (SB 209763) against respiratory syncytial virus (RSV) in infants and young children at risk for severe RSV disease,Mab,RSV,,,,,,,,,,
Hematologic effects of linezolid in young children,Antibiotics,CAM,,Further investigation was required,,,,,,,,
Two versus seven days penicillin treatment for acute otitis media. A placebo controlled trial in children,Antibiotics,Otitis Media,,,,,,,,,,
"Oral norephedrine therapy in acute otitis media. Report of a double-blind, placebo-controlled clinical trial",nasal decongestant,Otitis Media,,,,,,,,,,
[Penicillin therapy of acute otitis media. A double-blind placebo-controlled study]. [Danish],Antibiotics,Otitis Media,,,,,,,,,,
Penicillin treatment of acute middle ear infections in children. How long should treatment continue?,Antibiotics,Otitis Media,,,,,,,,,,
"Oral norephedrine in the treatment of acute otitis media. Results of a double-blind, placebo-controlled trial",nasal decongestant,Otitis Media,,,,,,,,,,
The effect of concurrent use of hepatitis B and Bacille Calmette-Guérin vaccination on anti-hepatitis B response,Vaccination,HBV,,,,,,,,,,
[The value of C-reactive protein testing in suspected lower respiratory tract infections. A study from general practice on the effect of a rapid test on antibiotic research and course of the disease in adults (see comments)],CRP,LRTI,,Further investigation was required,,,,,,,,
Symptomatic effect of inhaled fenoterol in acute bronchitis: a placebo-controlled double-blind study,bronchodilator,bronchitis,,,,,,,,,,
"Echinacea root extracts for the prevention of upper respiratory tract infections: a double-blind, placebo-controlled randomized trial",CAM,URTI,,,,,,,,,,
Controlled clinical study of standardized Andrographis paniculata extract in Common cold- a pilot trial,Herbal,common cold,,,,,,,,,,
"Double-blind, placebo-controlled pilot and phase III study of activity of standardized Andrographis paniculata Herba Nees extract fixed combination (Kan jang) in the treatment of uncomplicated upper-respiratory tract infection",CAM,URTI,,,,,,,,,,
Vaccination against influenza A,Vaccination,influenza,,,,,,,,,,
Intranasal flunisolide spray as an adjunct to oral antibiotic therapy for sinusitis,corticosteroid,sinusitis,,,,,,,,,,
"Treating acute rhinosinusitis: comparing efficacy and safety of mometasone furoate nasal spray, amoxicillin, and placebo",Antibiotics,commoncold,,,,,,,,,,
"Treating acute rhinosinusitis: comparing efficacy and safety of mometasone furoate nasal spray, amoxicillin, and placebo",corticosteroid,common cold,,,,,,,,,,
Added relief in the treatment of acute recurrent sinusitis with adjunctive mometasone furoate nasal spray. The Nasonex Sinusitis Group,corticosteroid,sinusitis,,,,,,,,,,
A randomized clinical trial to compare the effects of a heat and moisture exchanger with a heated humidifying system on the occurrence rate of ventilator-associated pneumonia,heated humidifying system,VAP,,,,,,,,,,
A randomized clinical trial to compare the effects of a heat and moisture exchanger with a heated humidifying system on the occurrence rate of ventilator-associated pneumonia,heat and moisture exchanger,VAP,,,,,,,,,,
Improving uptake of influenza vaccination among older people: a randomised controlled trial,vaccination,influenza,,,,,,,,,,
Immunogenicity and safety of Haemophilus influenzae type b polysaccharide-Neisseria meningitidis conjugate vaccine in 7.5 micrograms liquid formulation: a comparison of three lots with the 15.0 micrograms lyophilized formulation. Study Group for 7.5 micrograms Liquid PedvaxHIB,vaccination,neisseria meningitidis,,,,,,,,,,
Immunogenicity and safety of Haemophilus influenzae type b polysaccharide-Neisseria meningitidis conjugate vaccine in 7.5 micrograms liquid formulation: a comparison of three lots with the 15.0 micrograms lyophilized formulation. Study Group for 7.5 micrograms Liquid PedvaxHIB,vaccination,HiB,,,,,,,,,,
Live attenuated influenza vaccine induces cross-reactive antibody responses in children against an a/Fujian/411/2002-like H3N2 antigenic variant strain,vaccination,influenza,,,,,,,,,,
Influenza vaccines: antibody responses to split virus and MF59-adjuvanted subunit virus in an adult population,vaccination,influenza,,,,,,,,,,
A randomized trial comparing the efficacy of epinephrine with salbutamol in the treatment of acute bronchiolitis. [see comments.],bronchodilator,bronchiolitis,,,,,,,,,,
A randomized trial comparing the efficacy of epinephrine with salbutamol in the treatment of acute bronchiolitis. [see comments.],adrenaline,bronchiolitis,,,,,,,,,,
Hospital resource utilization with doripenem versus imipenem in the treatment of ventilator-associated pneumonia,Antibiotics,VAP,,,,,,,,,,
Are antibiotics beneficial for patients with sinusitis complaints? A randomized double-blind clinical trial,Antibiotics,sinusitis,,,,,,,,,,
Inhibition of respiratory virus infection by locally applied interferon,interferon,ARI,,,,,,,,,,
"Safety and immunogenicity of a primary course and booster dose of a combined Diptheria, tetanus, acellular pertussis, hepatitis B and inactivated poliovirus vaccine",vaccination,tetanus,,,,,,,,,,
"Safety and immunogenicity of a primary course and booster dose of a combined Diptheria, tetanus, acellular pertussis, hepatitis B and inactivated poliovirus vaccine",vaccination,pertussis,,,,,,,,,,
"Safety and immunogenicity of a primary course and booster dose of a combined Diptheria, tetanus, acellular pertussis, hepatitis B and inactivated poliovirus vaccine",vaccination,hepatitis,,,,,,,,,,
"Safety and immunogenicity of a primary course and booster dose of a combined Diptheria, tetanus, acellular pertussis, hepatitis B and inactivated poliovirus vaccine",vaccination,polio,,,,,,,,,,
"Safety and immunogenicity of a primary course and booster dose of a combined Diptheria, tetanus, acellular pertussis, hepatitis B and inactivated poliovirus vaccine",vaccination, Diptheria,,,,,,,,,,
Salbutamol in the treatment of whooping cough,bronchodilator,pertussis,,,,,,,,,,
[Effectiveness of an influenza vaccine in a working population in Colombia]. [Spanish],vaccination,influenza,,,,,,,,,,
Clinical comparison of cefuroxime axetil with cefixime in the treatment of acute bronchitis,Antibiotic vs antibiotic,bronchitis,,,,,,,,,,
Cluster-randomized trial to improve antibiotic use for adults with acute respiratory infections treated in emergency departments,Antibiotics,ARI,,,,,,,,,,
Influence of intermittent subglottic lavage on subglottic colonisation and ventilator-associated pneumonia,subglottic drainage,VAP,,,,,,,,,,
A controlled clinical comparison of nasal decongestants in acute rhinitis,nasal decongestant,common cold,,,,,,,,,,
Vitamin E supplementation and in vivo immune response in healthy elderly subjects. A randomized controlled trial (abstract),Vitamin E,Pneumococcal,,further investigation was required,,,,,,,,
Vitamin E supplementation and in vivo immune response in healthy elderly subjects. A randomized controlled trial (abstract),Vitamin E,tetanus,,further investigation was required,,,,,,,,
Vitamin E supplementation and in vivo immune response in healthy elderly subjects. A randomized controlled trial (abstract),Vitamin E,diptheria,,further investigation was required,,,,,,,,
Vitamin E supplementation and in vivo immune response in healthy elderly subjects. A randomized controlled trial (abstract),Vitamin E,HBV,,further investigation was required,,,,,,,,
Serum zinc and pneumonia in nursing home elderly,zinc,Pneumonia,,,,,,,,,,
Vitamin E and respiratory tract infections in elderly nursing home residents: a randomized controlled trial JAMA. 2004 Sep 15;292(11):1305. JAMA. 2007 May 2;297(17):1882,vitamin E,ARI,,,,,,,,,,
A blind parallel comparative study of the efficacy and safety of rovamycin versus augmentin in the treatment of acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
A comparative study of pefloxacin with cotrimoxazole in the treatment of lower respiratory infections,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
A randomized controlled trial of an antibiotic discontinuation policy for clinically suspected ventilator-associated pneumonia.[see comment],Antibiotics,VAP,,,,,,,,,,
Effect of using an interactive booklet about childhood respiratory tract infections in primary care consultations on reconsulting and antibiotic prescribing: a cluster randomised controlled trial,Education,ARI,,,,,,,,,,
Effect of using an interactive booklet about childhood respiratory tract infections in primary care consultations on reconsulting and antibiotic prescribing: a cluster randomised controlled trial,Antibiotics,ARI,,,,,,,,,,
Human leukocyte interferon in the treatment of varicella in children with cancer: a preliminary controlled trial,interferon,varicella,,,,,,,,,,
Immuno-stimulation by a ribosomal vaccine associated with a bacterial cell wall adjuvant in humans,Vaccination,Klebsiella pneumoniae,,Further investigation was required,,,,,,,,
"[Sinusitis in long-term intubated, intensive care patients: nasal versus oral intubation]. [German]",intubation,sinusitis,,,,,,,,,,
Standardized symptomatic treatment versus penicillin as initial therapy for streptococcal pharyngitis,penicillin,Pharyngitis,,,,,,,,,,
"Double blind trial in general practice comparing the efficacy of ""Benylin Day and Night"" and paracetamol in the treatment of the common cold",nasal decongestant,common cold,,,,,,,,,,
"Double blind trial in general practice comparing the efficacy of ""Benylin Day and Night"" and paracetamol in the treatment of the common cold",antihistamine,common cold,,,,,,,,,,
"Double blind trial in general practice comparing the efficacy of ""Benylin Day and Night"" and paracetamol in the treatment of the common cold",paracetamol,common cold,,,,,,,,,,
[The humoral and cell-mediated immune response induced by the NIVGRIP inactivated influenza vaccine]. [French],Vaccination,influenza,,,,,,,,,,
Efficacy of corticosteroids in the treatment of community-acquired pneumonia requiring hospitalization,corticosteroid,CAP,,,,,,,,,,
Cefprozil versus penicillin V in treatment of streptococcal tonsillopharyngitis,Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Cefadroxil versus penicillin in the treatment of streptococcal tonsillopharyngitis,Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Anticapsular serum antibody concentration and protection against pneumococcal colonization among children vaccinated with 7-valent pneumococcal conjugate vaccine,Vaccination,pneumococcal,,,,,,,,,,
Indirect effect of 7-valent pneumococcal conjugate vaccine on pneumococcal colonization among unvaccinated household members.[see comment],Vaccination,pneumococcal,,,,,,,,,,
Human leukocyte interferon for the treatment of varicella in children with cancer,interferon,varicella,,,,,,,,,,
"A multicenter, randomized, double-blind, placebo-controlled trial of influenza immunization in multiple sclerosis",Vaccination,influenza,,,,,,,,,,
A trial of bacterial vaccines for the Common coldin the Royal Air Force,Vaccination,common cold,,,,,,,,,,
Effect of schedule on reactogenicity and antibody persistence of acellular and whole-cell pertussis vaccines: Value of laboratory tests as predictors of clinical performance,Vaccination,pertussis,,,,,,,,,,
Phase II trial of whole-cell pertussis vaccine vs an acellular vaccine containing agglutinogens,Vaccination,pertussis,,,,,,,,,,
Antibody responses and reactions to the whole cell pertussis component of a combined Diptheria/tetanus/pertussis vaccine given at school entry,Vaccination,pertussis,,,,,,,,,,
Controlled trial of enviroxime against natural rhinovirus infections in a community,Antivirals,common cold,,,,,,,,,,
Edmonston B and a further attenuated measles vaccine--a placebo controlled double blind comparison,Vaccination,measles,,,,,,,,,,
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,antihistamine,common cold,,Further investigation was required,,,,,,,,
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,codeine,sinusitis,,Further investigation was required,,,,,,,,
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,antihistamine,sinusitis,,Further investigation was required,,,,,,,,
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,Aspirin,common cold,,Further investigation was required,,,,,,,,
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,codeine,common cold,,Further investigation was required,,,,,,,,
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,aspirin,sinusitis,,Further investigation was required,,,,,,,,
A co-twin control study of the effects of vitamin C,Vitamin C,common cold,,Further investigation was required,,,,,,,,
Therapeutic effect of vitamin C. A co-twin control study,Vitamin C,common cold,,Further investigation was required,,,,,,,,
Prophylactic Lactobacillus GG reduces antibiotic-associated diarrhea in children with respiratory infections: a randomized study,Probiotics,ARI,,,,,,,,,,
Alice strain live attenuated influenza (H3N2) vaccin in an elderly population,vaccination,influenza,,,,,,,,,,
Clinical and serologic effects of Alice strain live attenuated influenza A (H3N2) virus vaccine in an adult population,vaccination,influenza,,,,,,,,,,
Clinical and serologic effects of live attenuated serum inhibitor-resistant influenza B vaccine in seronegative adults,vaccination,influenza,,,,,,,,,,
Safety and immunogenicity of PRP-T combined with DTP: excretion of capsular polysaccharide and antibody response in the immediate post-vaccination period,vaccination,diptheria,,,,,,,,,,
Safety and immunogenicity of PRP-T combined with DTP: excretion of capsular polysaccharide and antibody response in the immediate post-vaccination period,vaccination,tetanus,,,,,,,,,,
Safety and immunogenicity of PRP-T combined with DTP: excretion of capsular polysaccharide and antibody response in the immediate post-vaccination period,vaccination,pertussis,,,,,,,,,,
Safety and immunogenicity of PRP-T combined with DTP: excretion of capsular polysaccharide and antibody response in the immediate post-vaccination period,vaccination,HiB,,,,,,,,,,
T-cell responses and hypersensitivity to influenza and egg antigens among adults with asthma immunized with the influenza vaccine,vaccination,influenza,,,,,,,,,,
"Double-blind controlled study of central nervous system side effects of amantadine, rimantadine, and chlorpheniramine",Antivirals,Non-specific disease,,,,,,,,,,
"Safety and immunogenicity of a combined five-component pertussis-Diptheria-tetanus-inactivated poliomyelitis-Haemophilus B conjugate vaccine administered to infants at two, four and six months of age",vaccination,diptheria,,,,,,,,,,
"Safety and immunogenicity of a combined five-component pertussis-Diptheria-tetanus-inactivated poliomyelitis-Haemophilus B conjugate vaccine administered to infants at two, four and six months of age",,vaccination,tetanus,,,,,,,,,
"Safety and immunogenicity of a combined five-component pertussis-Diptheria-tetanus-inactivated poliomyelitis-Haemophilus B conjugate vaccine administered to infants at two, four and six months of age",,vaccination,polio,,,,,,,,,
"Safety and immunogenicity of a combined five-component pertussis-Diptheria-tetanus-inactivated poliomyelitis-Haemophilus B conjugate vaccine administered to infants at two, four and six months of age",,vaccination,HiB,,,,,,,,,
"Safety and immunogenicity of a combined five-component pertussis-Diptheria-tetanus-inactivated poliomyelitis-Haemophilus B conjugate vaccine administered to infants at two, four and six months of age",vaccination,pertussis,,,,,,,,,,
The use of osteopathic manipulative treatment as adjuvant therapy in children with recurrent acute otitis media.[comment],osteopathy,Otitis Media,,,,,,,,,,
[Role of anticholinergic agents in acute bronchiolitis in infants],anticholinergic,bronchiolitis,,,,,,,,,,
"Nimesulide for the treatment of painful inflammatory process in the ear, nose and throat areas: a double-blind controlled study with benzydamine",NSAID,URTI,,,,,,,,,,
Decongestion of nasal mucous membranes by oral medication in acute rhinitis. A rhinomanometric study to demonstrate synergism between antihistamines and adrenergic substance,antihistamine,common cold,,,,,,,,,,
Decongestion of nasal mucous membranes by oral medication in acute rhinitis. A rhinomanometric study to demonstrate synergism between antihistamines and adrenergic substance,Decongestant,common cold,,,,,,,,,,
Treatment of influenza syndrome: A double-blind controlled trial of nimesulide v. aspirin,aspirin,NSAID,,,,,,,,,,
Treatment of influenza syndrome: A double-blind controlled trial of nimesulide v. aspirin,NSAID,influenza,,,,,,,,,,
Acellular vaccines containing reduced quantities of pertussis antigens as a booster in adolescents,vaccination,pertussis,,,,,,,,,,
Comparative study of nimesulide versus naproxen in patients with pharyngo-tonsillitis,NSAID,Pharyngitis,,,,,,,,,,
Comparative study with nimesulide drops versus diclofenac resinate in the treatment of pharyngo-tonsillitis in childhood,NSAID,Pharyngitis,,,,,,,,,,
Chronic suppurative otitis media in Tanzanian school children and its effects on hearing,Dry mopping,OM,,further investigation was required,,,,,,,,
Chronic suppurative otitis media in Tanzanian school children and its effects on hearing,Boric acid in alcohol,OM,,further investigation was required,,,,,,,,
Chronic suppurative otitis media in Tanzanian school children and its effects on hearing,Antibiotics,OM,,further investigation was required,,,,further investigation was required,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Pertussis,,further investigation was required,,,,,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Tetanus,,further investigation was required,,,,,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Diptheria,,further investigation was required,,,,,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Rubella,,further investigation was required,,,,,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Mumps,,further investigation was required,,,,,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Measles,,further investigation was required,,,,,,,,
The effect of parental monetary sanctions on the vaccination status of young children: an evaluation of welfare reform in Maryland,Vaccination,Polio,,further investigation was required,,,,,,,,
Immunostimulation of neutrophil phagocytic function by RU41740 (Biostim) in elderly subjects,GCS-F,QUERY - no stated illness - blood neutrophil phagocytic function,,,,,,,,,,
"Attenuated influenza A vaccine (Alice) in an adult population: vaccine-related illness, serum and nasal antibody production, and intrafamily transmission",Vaccination,influenza,,,,,,,,,,
"Safety and immunogenicity of an inactivated subunit influenza virus vaccine combined with MF59 adjuvant emulsion in elderly subjects, immunized for three consecutive influenza seasons",Vaccination,influenza,,,,,,,,,,
Treatment of Pharyngitis and Pharyngolaryngitis. A comparison of Phenylprenazone and Flurbiprofen (Froben) administered orally and rectally,NSAID,Pharyngitis,,,,,,,,,,
[Comparison between penicillin and amoxicillin-clavulanic acid for the treatment of recurrent tonsillopharyngitis in childhood]. [Spanish],Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Controlled double-blind study on the efficacy of clofedanol-sobrerol in the treatment of pediatric pertussis. [Italian],mucolytic,pertussis,,,,,,,,,,
Controlled double-blind study on the efficacy of clofedanol-sobrerol in the treatment of pediatric pertussis. [Italian],antitussive,pertussis,,,,,,,,,,
Randomised trial of efficacy and safety of inhaled zanamivir in treatment of influenza A and B virus infections.[see comments.] [erratum appears in Lancet 1999 Feb 6;353(9151):504; Lancet 1999 Mar 27;353(9158):1104.],Antivirals,influenza,,,,,,,,,,
Levofloxacin 300 mg once-daily versus levofloxacin 100 mg three-times-daily in the treatment of respiratory tract infections in elderly patients,Antibiotics,ARI,,,,,,,,,,
Varicella-zoster-specific immune responses in acute herpes zoster during a placebo-controlled trial of oral acyclovir therapy,Antivirals,varicella,,,,,,,,,,
"Beyond randomized controlled trials: a ""real life"" experience of respiratory syncytial virus infection prevention in infancy with and without palivizumab",Mab,RSV,,,,,,,,,,
Long-term oral supplementation with iron is not harmful for young children in a poor community of Bangladesh,iron,ARI,,Further investigation was required,,,,,,,,
Impact of influenza vaccination on civilian aircrew illness and absenteeism,Vaccination,influenza,,,,,,,,,,
"Efficacy of a single evening dose of syrup containing paracetamol, dextromethorphan hydrobromide, doxylamine succinate and ephedrine sulfate in subjects with multiple Common coldsymptoms",antitussive,common cold,,,,,,,,,,
"Efficacy of a single evening dose of syrup containing paracetamol, dextromethorphan hydrobromide, doxylamine succinate and ephedrine sulfate in subjects with multiple Common coldsymptoms",antihistamine,common cold,,,,,,,,,,
"Efficacy of a single evening dose of syrup containing paracetamol, dextromethorphan hydrobromide, doxylamine succinate and ephedrine sulfate in subjects with multiple Common coldsymptoms",nasal decongestant,common cold,,,,,,,,,,
"Efficacy of a single evening dose of syrup containing paracetamol, dextromethorphan hydrobromide, doxylamine succinate and ephedrine sulfate in subjects with multiple Common coldsymptoms",paracetamol,common cold,,,,,,,,,,
"Evaluation of Inhalated Lysozyme Chloride, in Nebulizer Treatment upon Paranasal Sinusitis",lysozyme,sinusitis,,,,,,,,,,
[Ascorbic acid in the complex therapy of acute pneumonia],Vitamin C,Pneumonia,,,,,,,,,,
Vitamin C in high doses in the treatment of the common cold,Vitamin C,common cold,,,,,,,,,,
Does the bronchodilator response of infants with bronchiolitis change with age? [Abstract],bronchodilator,bronchiolitis,,,,,,,,,,
Clinical trials of bivalent A/New Jersey/76-A/Victoria/75 influenza vaccines in high-risk children,Vaccination,influenza,,,,,,,,,,
A comparative study of azithromycin and amoxycillin in paediatric patients with acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Dexamethasone treatment in childhood bacterial meningitis in Malawi: a randomised controlled trial. [see comments.],corticosteroid,meningitis,,,,,,,,,,
"The effect of HIV infection on paediatric bacterial meningitis in Blantyre, Malawi",corticosteroid,meningitis,,Further investigation was required,,,,,,,,
Nutritional outcome and pneumonia in critical care patients randomized to gastric versus jejunal tube feedings. The Critical Care Research Team. [see comments.],feeding method,Pneumonia,,,,,,,,,,
Demonstration of dose-response relationship in seasonal prophylaxis of respiratory infections with alpha-2b interferon,interferon,ARI,,,,,,,,,,
Efficacy and safety of the neuraminidase inhibitor zanamivirin the treatment of influenza A and B virus infections,Antivirals,influenza,,,,,,,,,,
Prevention of Russian influenza by amantadine,Antivirals,influenza,,,,,,,,,,
"Evaluation of an attenuated, cold-recombinant influenza B virus vaccine",Vaccination,influenza,,,,,,,,,,
Safety and efficacy of long-term use of rimantadine for prophylaxis of type A influenza in nursing homes,Antivirals,influenza,,,,,,,,,,
Zanamivir prophylaxis: an effective strategy for the prevention of influenza types A and B within households,Antivirals,influenza,,,,,,,,,,
Zanamivir in the prevention of influenza among healthy adults: a randomized controlled trial. [see comments.],Antivirals,influenza,,,,,,,,,,
"Randomized, placebo-controlled studies of inhaled zanamivir in the treatment of influenza A and B: pooled efficacy analysis",Antivirals,influenza,,,,,,,,,,
A multicenter study of grepafloxacin and clarithromycin in the treatment of patients with community-acquired pneumonia,Antibiotic vs antibiotic,CAP,,,,,,,,,,
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",paracetamol,pharyngitis,,,,,,,,,,
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",NSAID,pharyngitis,,,,,,,,,,
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",Aspirin,common cold,,,,,,,,,,
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",Aspirin,Pharyngitis,,,,,,,,,,
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",paracetamol,common cold,,,,,,,,,,
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",NSAID,common cold,,,,,,,,,,
Association of aminoglycoside plasma levels with therapeutic outcome in gram-negative pneumonia,Antibiotics,Pneumonia,,,,,,,,,,
A preventive measure for otitis media in children with upper respiratory tract infections,immunostimulant,URTI,,further investigation was required,,,,,,,,
A preventive measure for otitis media in children with upper respiratory tract infections,immunostimulant,OM,,further investigation was required,,,,,,,,
Ribosomal therapy in the prophylaxis of recurrent pharyngotonsillitis in children,Ribosomal therapy,Pharyngitis,,,,,,,,,,
Efficacy of cefpodoxime in the prophylaxis of recurrent pharyngotonsillitis,Antibiotics,Pharyngitis,,,,,,,,,,
Chloramphenicol versus ampicillin plus gentamicin for community acquired very severe pneumonia among children aged 2-59 months in low resource settings: multicentre randomised controlled trial (SPEAR study).[see comment],Antibiotic vs antibiotic,CAP,,,,,,,,,,
A randomized controlled trial comparing split and subunit influenza vaccines in adults in Colombia,vaccination,influenza,,,,,,,,,,
Live varicella vaccine in both immunocompromised and healthy children,vaccination,varicella,,,,,,,,,,
Use of an antihistamine-decongestant in conjunction with an anti-infective drug in the treatment of acute otitis media,decongestant,OM,,,,,,,,,,
Use of an antihistamine-decongestant in conjunction with an anti-infective drug in the treatment of acute otitis media,antibiotics,OM,,,,,,,,,,
Use of an antihistamine-decongestant in conjunction with an anti-infective drug in the treatment of acute otitis media,antihistamine,Otitis Media,,,,,,,,,,
A multicentre general practice study comparing pivampicillin (Pondocillin) and amoxycillin (Amoxil) in respiratory tract infections,Antibiotic vs antibiotic,ARI,,,,,,,,,,
Computer-generated mailed reminders for influenza immunization: a clinical trial,vaccination reminder,influenza,,,,,,,,,,
Increasing influenza immunization among high-risk patients: education or financial incentive?,vaccination,influenza,,,,,,,,,,
Clinical efficacy of azithromycin in lower respiratory tract infections,Antibiotics,LRTI,,,,,,,,,,
"Efficacy, safety and antibacterial activity of i.m. meropenem in community-acquired respiratory low tract infections. Hospital multicentre comparative study",Antibiotics,LRTI,,,,,,,,,,
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],antipyretic,ARI,,,,,,,,,,
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],antispasmodic,ARI,,,,,,,,,,
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],analgesic,ARI,,,,,,,,,,
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],paracetamol,ARI,,,,,,,,,,
Efficacy and tolerability of brodimoprim in respiratory tract infections,Antibiotic ,ARI,,,,,,,,,,
Superior relative efficacy of live attenuated influenza vaccine compared with inactivated influenza vaccine in young children with recurrent respiratory tract infections,Vaccination ,ARI,,,,,,,,,,
Immunogenicity of a serogroup B meningococcal vaccine against multiple Neisseria meningitidis strains in infants,Vaccination,Meningitis,,,,,,,,,,
Natural challenge of subjects vaccinated with WRL 105 strain live influenza vaccine in a residential community,Vaccination,influenza,,THIS STUDY IS IRRELVANT!,,,,,,,,
"Recombinant WRL 105 strain live attenuated influenza vaccine. Immunogenicity, reactivity, and transmissibility",Vaccination ,influenza,,,,,,,,,,
"Comparison of antibody responses and reactivity of ""Alice"" and WRL 105 strain live influenza vaccines",Vaccination,influenza,,,,,,,,,,
Treatment of early whooping-cough with chloramphenicol palmitate,Chloramphenicol Palmitate (antibiotic),Pertussis,,,,,,,,,,
[Pseudocroup treated with inhaled steroid (budesonide). A double-blind placebo-controlled trial]. [Danish],Pseudocroup,corticosteroid,,,,,,,,,,
Healthy Hands: Use of alcohol gel as an adjunct to handwashing in elementary school children,Infection control,ARI,,Further investigation was required,,,,,,,,
Oral acyclovir in the treatment of herpes zoster in general practice,Antivirals,Herpes Zoster,,,,,,,,,,
[Fitness for work despite an influenzal infection?],doregrippin N,Influenza,,,,,,,,,,
Comparison of cefpodoxime proxetil and cefixime in the treatment of acute otitis media in infants and children,antibiotic vs antibiotic,OM,,,,,,,,,,
Effect of zincum gluconicum nasal gel on the duration and symptom severity of the Common coldin otherwise healthy adults,Zinc,Common cold,,,,,,,,,,
"Zinc gluconate lozenges for treating the common cold. A randomized, double-blind, placebo-controlled study. [see comments.]",Zinc,Common cold,,,,,,,,,,
Studies of inactivated influenza virus vaccines in hospital employees: reactogenicity and absenteeism,Vaccination,influenza,,,,,,,,,,
Studies on inactivated influenza vaccines. II. Effect of increasing dosage on antibody response and adverse reactions in man,Vaccination,Influenza,,,,,,,,,,
Immunoactivity of pidotimod against episodes of recurrent tonsillitis in childhood,immunostimulant,Pharyngitis ,,,,,,,,,,
Comparative efficacy and safety of cephradine and cephalexin in children,antibiotic vs antibiotic,Pneumonia,,,,,,,,,,
[The combined measles-yellow fever vaccination in African infants aged 6 to 10 months].[French],Vaccination,Yellow Fever,,,,,,,,,,
[The combined measles-yellow fever vaccination in African infants aged 6 to 10 months].[French],Vaccination ,Measles,,,,,,,,,,
[Laser treatment of sinusitis in general practice assessed by a double-blind controlled study].,Laser treatment,Sinusitis,,,,,,,,,,
Empirical monotherapy with meropenem in serious bacterial infections. Meropenem Study Group,Antibiotics,LRTI,,,,,,,,,,
[Evaluation of ciprofloxacin versus amoxicillin + clavulanic acid or erythromycin for the empiric treatment of community-acquired pneumonia]. [French],antibiotic vs antibiotic,CAP,,,,,,,,,,
Lowest effective single dose of diclofenac for antipyretic and analgesic effects in acute febrile sore throat,NSAID,Pharyngitis,,,,,,,,,,
